iter	Logloss
0	0.6825870412
1	0.674124242
2	0.667821434
3	0.6629314933
4	0.6594841208
5	0.655623016
6	0.6533786746
7	0.6504754208
8	0.647987904
9	0.6466605008
10	0.6448853579
11	0.6437726914
12	0.6431814969
13	0.6419016891
14	0.641518326
15	0.6406910843
16	0.6404335041
17	0.6394252359
18	0.6386671229
19	0.6378794575
20	0.6373317746
21	0.6372747491
22	0.6366125696
23	0.6364529278
24	0.6358130239
25	0.6348830917
26	0.6345108663
27	0.633984271
28	0.6335085384
29	0.6332857823
30	0.6330768372
31	0.6318213841
32	0.6309863459
33	0.6305247212
34	0.6298920197
35	0.6290907663
36	0.6282776324
37	0.6271244987
38	0.6270612359
39	0.6264890499
40	0.6261326402
41	0.6259064686
42	0.6256373793
43	0.6251780563
44	0.624778432
45	0.6244167504
46	0.6239185937
47	0.6237080149
48	0.6232140163
49	0.6228419023
50	0.6226359272
51	0.6223389563
52	0.6217640972
53	0.62133919
54	0.6209226362
55	0.6208973534
56	0.6205384563
57	0.6201237217
58	0.6196589041
59	0.6192999327
60	0.6192720511
61	0.6190694544
62	0.618687762
63	0.6185167967
64	0.6181654362
65	0.617648605
66	0.617350446
67	0.6171443596
68	0.6170019442
69	0.6166976595
70	0.6163255455
71	0.6159653118
72	0.6156758032
73	0.6152622195
74	0.6151521038
75	0.6146416212
76	0.6144471923
77	0.6142412543
78	0.6139620667
79	0.6136945367
80	0.6131792649
81	0.6128019904
82	0.6123907456
83	0.6122498524
84	0.6117465722
85	0.6115381097
86	0.6110330475
87	0.6103634057
88	0.6101035236
89	0.6096945807
90	0.6088391975
91	0.6084771075
92	0.607988455
93	0.6078469307
94	0.6075919864
95	0.6068559633
96	0.6062997043
97	0.6059051291
98	0.6054056729
99	0.6043706741
100	0.6042373175
101	0.6038006414
102	0.6031465925
103	0.6028564527
104	0.6022041859
105	0.6017348761
106	0.6013851119
107	0.6009321375
108	0.6003059332
109	0.5997859463
110	0.5993473396
111	0.5989852126
112	0.5986362652
113	0.5980560228
114	0.5975220766
115	0.5966823606
116	0.5963645619
117	0.5959220199
118	0.5954717186
119	0.5950881698
120	0.5945978838
121	0.5943254531
122	0.5938819458
123	0.5933359708
124	0.5931559839
125	0.5927655297
126	0.5922175869
127	0.5916723915
128	0.5910719526
129	0.5907514438
130	0.5904401422
131	0.5899838636
132	0.589420662
133	0.5889625271
134	0.5887519484
135	0.5882741367
136	0.5877449425
137	0.5874989456
138	0.5871231562
139	0.5865095375
140	0.5862388147
141	0.5858292034
142	0.5854617673
143	0.5849850694
144	0.584731276
145	0.5841238203
146	0.5839132416
147	0.5834261484
148	0.5828931674
149	0.5826701886
150	0.5824798807
151	0.5821219117
152	0.5816608067
153	0.5812648578
154	0.5809814008
155	0.5806604093
156	0.5802886295
157	0.5799760285
158	0.5795592519
159	0.5793159281
