iter	Passed	Remaining
0	2	1431
1	6	1571
2	9	1591
3	12	1599
4	14	1477
5	17	1459
6	19	1367
7	22	1385
8	25	1393
9	27	1359
10	30	1345
11	32	1318
12	33	1269
13	36	1262
14	37	1217
15	39	1205
16	41	1173
17	43	1164
18	45	1156
19	47	1151
20	50	1146
21	51	1113
22	53	1104
23	54	1085
24	56	1082
25	59	1083
26	61	1081
27	63	1077
28	66	1073
29	67	1064
30	69	1058
31	72	1054
32	73	1045
33	76	1042
34	77	1036
35	80	1033
36	82	1030
37	84	1027
38	86	1017
39	88	1013
40	90	1012
41	92	1010
42	94	1007
43	96	1004
44	98	1000
45	100	996
46	102	991
47	104	986
48	106	982
49	109	981
50	111	979
51	113	977
52	115	973
53	117	972
54	119	970
55	121	961
56	123	958
57	125	956
58	127	952
59	129	949
60	130	942
61	132	938
62	134	935
63	137	933
64	139	931
65	141	931
66	143	929
67	145	926
68	147	923
69	149	920
70	151	917
71	154	915
72	156	913
73	158	910
74	160	910
75	163	910
76	165	909
77	168	909
78	170	905
79	172	903
80	174	901
81	176	898
82	178	894
83	179	890
84	181	885
85	183	881
86	184	877
87	186	874
88	188	871
89	190	869
90	192	866
91	194	864
92	197	863
93	199	862
94	202	863
95	205	863
96	207	860
97	208	857
98	210	853
99	212	850
100	214	846
101	216	844
102	218	841
103	220	838
104	222	837
105	224	836
106	227	834
107	229	833
108	231	831
109	233	828
110	235	825
111	237	823
112	239	820
113	241	816
114	243	813
115	244	810
116	246	807
117	248	804
118	250	801
119	252	798
120	254	796
121	255	793
122	257	790
123	259	787
124	261	784
125	263	781
126	265	779
127	267	777
128	269	775
129	271	772
130	273	770
131	275	768
132	277	765
133	279	762
134	280	759
135	282	756
136	284	754
137	286	752
138	288	749
139	290	746
140	292	743
141	293	741
142	295	738
143	297	735
144	299	733
145	301	730
146	303	728
147	305	725
148	307	723
149	308	720
150	310	718
151	312	716
152	315	714
153	317	713
154	319	711
155	321	709
156	323	706
157	325	703
158	326	701
159	328	698
160	330	695
161	332	693
162	334	691
163	336	689
164	338	687
165	340	685
166	343	684
167	345	683
168	348	681
169	350	680
170	352	679
171	355	677
172	357	675
173	359	673
174	361	671
175	363	669
176	365	666
177	367	664
178	369	661
179	370	659
180	372	656
181	374	654
182	375	651
183	377	648
184	379	646
185	381	644
186	383	641
187	385	639
188	387	636
189	388	634
190	390	631
191	392	629
192	394	627
193	396	625
194	397	622
195	400	620
196	401	618
197	403	615
198	405	613
199	407	611
200	409	609
201	411	607
202	413	604
203	415	602
204	417	601
205	419	599
206	421	597
207	423	594
208	425	592
209	427	590
210	429	588
211	431	586
212	433	584
213	435	582
214	437	580
215	440	578
216	442	576
217	443	574
218	445	571
219	447	569
220	449	567
221	451	565
222	453	562
223	454	560
224	456	558
225	458	556
226	460	554
227	462	551
228	464	549
229	466	547
230	468	545
231	470	542
232	471	540
233	473	538
234	476	536
235	478	535
236	480	533
237	482	531
238	484	528
239	486	526
240	487	524
241	489	522
242	491	519
243	493	517
244	495	515
245	497	513
246	499	511
247	501	509
248	503	507
249	505	505
250	507	503
